aaa,bbb,ccc,ddd,eee,fff,ggg,hhh,iii,jjj,kkk,lll,mmm,nnn,ooo,ppp,qqq,rrr,sss,ttt,uuu,vvv,www,xxx,yyy,zzz,abc,bca,bcd,adc,aed,afg,ags,ahp,ail,ajm,bkx,ilm,hmt,xnl,aop,aph,aqr,gru,asi,atn,bus,avq,awn,axo,qyv,uzx,bap,nba,ncd,pdq,lek,mlf,gan,hur,iqp,Class
0,0,0.621998002,0,0,0,0,0.674605395,0,0,0,0,0,0.646346986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722504163,0,0,0,0,0,0,0,0.597649018,0,0,0,0,0.425900766,0,0,0,0.425900766,0,0,0,0,0,0,0.603583084
0.771468531,0,0.621998002,0,0,0,0.747639028,0.674605395,0,0,0,0.641811522,0,0,0,0,0,0,0,0.839020979,0,0,0,0.847985348,0,0,0.82983683,0,0,0.841878122,0,0,0,0,0.425900766,0,0,0,0,0,0,0,0,0.425900766,0,0,0.758361638,0,0,0,0,0.425900766,0,0.425900766,0,0,0.425900766,0,0,0,0,0.72017982
0.771468531,0,0,0.762457542,0,0,0,0,0.749190809,0,0,0,0.717369297,0.646346986,0,0,0,0,0.851235431,0,0,0,0,0,0,0,0,0,0.778548119,0,0,0,0.853573094,0,0,0,0,0,0,0.852067932,0.425900766,0.811641692,0,0,0,0,0,0,0.620586081,0,0,0,0.746586747,0,0,0,0,0,0,0.425900766,0.823936064,0.803196803
0,0.691075591,0,0,0,0,0,0,0,0.728797869,0,0,0.717369297,0.646346986,0,0,0,0.826759907,0,0,0,0,0,0.847985348,0,0.839020979,0,0,0.778548119,0,0,0.425900766,0,0.425900766,0.425900766,0.425900766,0,0.722504163,0,0,0.425900766,0.811641692,0,0.425900766,0,0,0,0,0,0,0,0,0,0.425900766,0.425900766,0,0.425900766,0.425900766,0,0,0.823936064,0.491302031
0,0.691075591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835897436,0.826759907,0,0,0,0,0,0,0.854092574,0,0,0,0,0,0,0,0,0,0,0,0.597649018,0,0.785534466,0,0,0,0.754452214,0.425900766,0,0,0.758361638,0,0,0,0.425900766,0.425900766,0,0,0,0,0,0,0,0.425900766,0.823936064,0.755770896
0,0,0,0,0,0,0,0,0.749190809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758361638,0.425900766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686426906
0,0,0,0,0,0,0,0,0,0.728797869,0,0,0,0,0.731655012,0,0,0,0,0,0,0.847985348,0,0,0.854092574,0,0,0,0,0,0.838974359,0,0,0,0,0.425900766,0,0,0,0,0,0.811641692,0,0,0,0,0,0,0.620586081,0.626300366,0,0,0,0,0,0,0,0,0,0,0,0.784562105
0,0,0,0.762457542,0.786193806,0,0,0,0.749190809,0,0.721671662,0,0,0,0,0,0,0,0,0,0,0,0,0.847985348,0,0,0.82983683,0.854092574,0,0,0,0,0,0,0,0,0,0,0.785534466,0.852067932,0,0.811641692,0,0.425900766,0.425900766,0.597649018,0,0,0,0.626300366,0.425900766,0,0,0.425900766,0,0,0.425900766,0,0,0,0,0.752440892
0.771468531,0,0,0.762457542,0,0,0,0,0,0,0.721671662,0,0,0,0,0.7801332,0.835897436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852067932,0,0,0,0.425900766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800652681
0,0,0,0,0,0,0,0,0.749190809,0,0,0,0,0,0,0.7801332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425900766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686739927
0,0.691075591,0.621998002,0,0,0,0.747639028,0,0,0.728797869,0,0,0,0,0,0.7801332,0,0,0,0,0,0,0,0,0,0,0.82983683,0,0,0,0.838974359,0,0,0,0,0,0,0,0,0.852067932,0.425900766,0,0,0,0.425900766,0,0,0,0,0,0,0.425900766,0,0,0,0.425900766,0.425900766,0,0,0,0,0.645860806
0.771468531,0,0,0,0,0,0,0,0,0,0,0,0.717369297,0,0,0,0,0,0.851235431,0,0,0.847985348,0,0.847985348,0.854092574,0,0,0,0,0,0,0,0.853573094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758361638,0,0,0,0,0,0,0,0,0,0,0,0.425900766,0,0,0.854045954
0.771468531,0,0,0,0,0,0,0,0,0.728797869,0.721671662,0.641811522,0,0,0,0,0.835897436,0.826759907,0.851235431,0,0,0,0,0,0,0.839020979,0,0,0,0,0.838974359,0,0,0.425900766,0,0,0.597649018,0,0,0,0.425900766,0.811641692,0.754452214,0,0,0.597649018,0.758361638,0.425900766,0,0.626300366,0,0,0.746586747,0,0,0.425900766,0,0,0,0.425900766,0,0.764122544
0,0,0,0,0,0,0.747639028,0.674605395,0.749190809,0,0,0,0,0,0.731655012,0.7801332,0,0,0,0,0.778548119,0.847985348,0,0,0.854092574,0.839020979,0,0.854092574,0,0,0,0,0.853573094,0,0,0,0,0.722504163,0,0,0,0.811641692,0.754452214,0,0,0.597649018,0.758361638,0,0,0,0,0.425900766,0,0.425900766,0,0,0,0,0,0,0.823936064,0.844595405
0.771468531,0,0,0.762457542,0,0,0.747639028,0.674605395,0.749190809,0,0.721671662,0,0,0,0.731655012,0,0,0.826759907,0.851235431,0.839020979,0,0,0.832647353,0,0,0,0,0,0.778548119,0,0,0,0,0,0,0,0,0.722504163,0,0,0,0,0.754452214,0.425900766,0.425900766,0,0,0.425900766,0,0,0,0,0,0,0,0.425900766,0,0,0,0.425900766,0,0.814452214
0,0,0,0,0,0,0,0,0,0.728797869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847985348,0.854092574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856949717
0,0,0.621998002,0,0,0,0,0,0,0,0,0.641811522,0,0,0,0,0,0,0,0.839020979,0,0,0.832647353,0.847985348,0.854092574,0,0,0,0,0,0.838974359,0,0,0,0,0.425900766,0,0.722504163,0,0.852067932,0,0,0,0,0,0.597649018,0,0,0.620586081,0.626300366,0.425900766,0,0,0.425900766,0,0.425900766,0.425900766,0.425900766,0.425900766,0.425900766,0.823936064,0.597649018
